year;christianity_protestant;christianity_romancatholic;christianity_easternorthodox;christianity_anglican;christianity_other;christianity_all;judaism_orthodox;judaism_conservative;judaism_reform;judaism_other;judaism_all;islam_sunni;islam_szyici;islam_all;buddhism_all;zoroastrianism_all;hinduism_all;sikhism_all;shinto_all;taoism_all;jainism_all;confucianism_all;syncretism_all;animism_all;noreligion_all;otherreligion_all;religion_all;population;world_population
1945;160887585;391332035;98501171;36955033;13674466;701350290;856827;1426350;1929388;7796835;12009400;49050320;19436742;130760281;116237936;12710;5389197;20809;55228775;120950;181;0;428660117;33210080;153486530;9856926;1636502751;1617000000;2250000000
1950;133301043;401935856;106610911;38307544;16324768;696480122;2204231;1860297;2528641;7105125;13698294;56921304;20944082;294121067;159011902;119462;301349500;5932557;65452839;921828;1817254;2646410;431942094;88853880;192925316;12145951;2255911264;2231000000;2780296616
1955;189347338;474378130;111661338;38177572;22437724;836002102;2496432;1653007;2225241;6611524;12986204;78882540;24256503;344072007;179384199;140762;328704605;6407617;68145114;1182738;1620662;2956319;385702150;93710944;304128449;21379050;2565905174;2536000000;3039433944
1960;220293770;541957872;118268109;41846700;44601144;966967595;2818847;1716903;2300405;6892701;13728856;104325384;27174803;435123088;200439159;170443;361169167;8088138;71357167;1357348;2031760;3593958;325016083;135768801;434629671;18904435;2960719583;2921000000;3345409879
1965;234437703;614115021;125954494;45086639;55119929;1074713786;3295632;1760345;2348076;6849626;14253679;129192812;17097714;514634057;212593384;148944;397863182;8895685;74982591;1704647;2341748;4441376;358844822;160893706;474097850;41159669;3302068346;3280000000;3706601448
1970;247932230;671006540;134595635;46079842;76991429;1176605676;3663721;1923986;2574798;6670904;14833409;151264004;36572141;592342288;228802634;107671;449824489;10686632;79156350;1981266;2628762;5286931;379156729;167009224;588838181;26258961;3699555220;3655000000;4086387665
1975;264857729;748325898;137192284;48153338;101587361;1300116609;3910099;2253657;2910930;6839862;15914548;238953304;44373213;663674348;260324284;179084;488621807;12477870;85416548;2895296;2942380;5174923;372344153;168615279;690431832;26800685;4071736010;4023000000;4453863820
1980;278962191;798834729;137902427;51093360;125285902;1392078609;4300992;2439116;3153787;6713100;16606995;277804364;50827912;647139477;298402116;192461;537594394;14276856;89429228;3875752;3258083;5470087;398417206;165629178;737801266;35031049;4313376757;4413000000;4850224998
1985;305061321;865316946;141435053;56651880;138453851;1506919051;4580474;2466942;3320124;6415455;16782995;317788564;62653376;747128591;337670689;263891;601622535;14921905;92520741;4627936;3567900;1169027;435629032;166066939;788196309;36373149;4720267965;4834000000;5277725410
1990;391772588;928527756;147970918;63954053;162855904;1695081219;4395315;1926083;2458253;6089896;14869547;516397560;78407673;999680318;375247755;878401;659849828;19201480;94607820;5884833;3884764;1300279;469199898;182182331;838271280;36282109;5365204736;5313000000;5687011326
1995;385509297;962614859;182860714;69080890;185349210;1785414969;5143346;1900415;2392642;4635903;14072306;713820144;116574174;1154990606;411955330;1486982;720868905;19075084;96137007;6521306;4096172;1273987;503019620;192906325;802280726;41903686;5718946902;5670000000;5687011326
2000;443610594;978633933;264356291;68291261;136031105;1890923184;5433428;1849587;2306902;3856395;13446312;1114987699;153872692;1314048240;388256056;2004398;875605734;20052963;97189265;9800202;4322367;3816742;562844555;166747465;782412122;33542527;6135549678;6077000000;6081002937
2005;490942837;1013883916;255124896;69037503;161742315;1990731467;6271171;1778851;2342301;3878005;14270328;1201627932;164919787;1426454346;474117121;1676073;947361362;21869149;107221255;12295370;4744957;3850741;569336868;171348718;743821311;39044537;6493408899;6436000000;6462181426
2010;557830085;1049709823;268783851;71770419;163818774;2111912953;6637406;1899567;2509660;2976676;14023309;1321204779;183218930;1555482766;485246937;1751038;1017342648;23776500;108343192;9879877;5115141;3987537;590530545;174264339;788323943;26572933;6894820787;6839000000;6840423256
